x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.125,0.125,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,0.375,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,0.625,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,0.875,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,1.125,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,1.375,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,1.625,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,1.875,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,2.125,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,2.375,1,1,0.999999,1,nan,nan,1,1.00004,1,1,0
0.125,2.625,1,1,0.999998,1,nan,nan,1,1.00004,1,1,0
0.125,2.875,1,1,0.999997,1,nan,nan,1,1.00004,1,1,0
0.125,3.125,1,1,0.999995,1,nan,nan,1,1.00004,1,1,0
0.125,3.375,1.00001,1,0.999993,1.00001,nan,nan,1,1.00004,1,1,0
0.125,3.625,1.00001,1,0.999989,1.00001,nan,nan,1,1.00004,1,1,0
0.125,3.875,1.00001,1,0.999985,1.00001,nan,nan,1,1.00004,1,1,0
0.125,4.125,1.00001,1.00001,0.999981,1.00002,nan,nan,1,1.00004,1,1,0
0.125,4.375,1.00001,1.00001,0.999976,1.00002,nan,nan,1,1.00004,1,1,0
0.125,4.625,1.00001,1.00001,0.999971,1.00002,nan,nan,1,1.00004,1,1,0
0.125,4.875,1.00001,1,0.999967,1.00001,nan,nan,1,1.00004,1,1,0
0.125,5.125,1.00001,1,0.999964,1.00001,nan,nan,1,1.00004,1,1,0
0.125,5.375,1,1,0.999963,1,nan,nan,1,1.00004,1,1,0
0.125,5.625,0.999998,0.999999,0.999963,0.999997,nan,nan,1,1.00004,1,1,0
0.125,5.875,0.999994,0.999997,0.999965,0.999991,nan,nan,1,1.00004,1,1,0
0.125,6.125,0.999991,0.999995,0.999967,0.999987,nan,nan,1,1.00004,1,1,0
0.125,6.375,0.999989,0.999994,0.999971,0.999984,nan,nan,1,1.00004,1,1,0
0.125,6.625,0.999988,0.999994,0.999976,0.999984,nan,nan,1,1.00004,1,1,0
0.125,6.875,0.999989,0.999995,0.999981,0.999985,nan,nan,1,1.00004,1,1,0
0.125,7.125,0.999991,0.999996,0.999985,0.999987,nan,nan,1,1.00004,1,1,0
0.125,7.375,0.999993,0.999997,0.999989,0.99999,nan,nan,1,1.00004,1,1,0
0.125,7.625,0.999995,0.999998,0.999993,0.999993,nan,nan,1,1.00004,1,1,0
0.125,7.875,0.999996,0.999999,0.999995,0.999995,nan,nan,1,1.00004,1,1,0
0.125,8.125,0.999998,0.999999,0.999997,0.999997,nan,nan,1,1.00004,1,1,0
0.125,8.375,0.999999,1,0.999998,0.999998,nan,nan,1,1.00004,1,1,0
0.125,8.625,0.999999,1,0.999999,0.999999,nan,nan,1,1.00004,1,1,0
0.125,8.875,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,9.125,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,9.375,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,9.625,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.125,9.875,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,0.125,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,0.375,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,0.625,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,0.875,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,1.125,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,1.375,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,1.625,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,1.875,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,2.125,1,1,1,1,nan,nan,1,1.00004,1,1,0
0.375,2.375,1,1,0.999999,1,nan,nan,1,1.00004,1,1,0
0.375,2.625,1,1,0.999998,1,nan,nan,1,1.00004,1,1,0
0.375,2.875,1,1,0.999997,1,nan,nan,1,1.00004,1,1,0
0.375,3.125,1,1,0.999995,1,nan,nan,1,1.00004,1,1,0
0.375,3.375,1,1,0.999993,1.00001,nan,nan,1,1.00004,1,1,0
0.375,3.625,1.00001,1,0.999989,1.00001,nan,nan,1,1.00004,1,1,0
0.375,3.875,1.00001,1.00001,0.999985,1.00001,nan,nan,1,1.00004,1,1,0
0.375,4.125,1.00001,1.00001,0.99998,1.00001,nan,nan,1,1.00004,1,1,0
0.375,4.375,1.00001,1.00001,0.999975,1.00001,nan,nan,1,1.00004,1,1,0
0.375,4.625,1.00001,1.00001,0.99997,1.00001,nan,nan,1,1.00004,1,1,0
0.375,4.875,1.00001,1.00001,0.999966,1.00001,nan,nan,1,1.00004,1,1,0
0.375,5.125,1,1.00001,0.999963,1.00001,nan,nan,1,1.00004,1,1,0
0.375,5.375,1,1,0.999961,1,nan,nan,1,1.00004,1,1,0
0.375,5.625,0.999998,0.999998,0.999961,0.999998,nan,nan,1,1.00004,1,1,0
