# x y Cp
1.949636505636280492e-03 6.860342022813594939e-03 1.090871758345222986e+00
4.502272027162900273e-03 1.111025844141025343e-02 9.228558782588084375e-01
7.829568941174478922e-03 1.481372694643280988e-02 7.083891344571586757e-01
1.163319091916166850e-02 1.804230517227202457e-02 5.383814309690765354e-01
1.573599464271559917e-02 2.088959247475297848e-02 4.003454502640244606e-01
2.003636678648318403e-02 2.343333384570871203e-02 2.922760213309626431e-01
2.447396358952299428e-02 2.573202336986882971e-02 2.086679665877527456e-01
2.901111379099773069e-02 2.782904628569464467e-02 1.398068087361810929e-01
3.362313088433596664e-02 2.975693111516727885e-02 8.268023252448809812e-02
3.829311939325592828e-02 3.154051380456661391e-02 3.382501767593935199e-02
4.300912900019208257e-02 3.319914489513259293e-02 -4.421331118048542862e-03
4.776240665549669889e-02 3.474816634756011657e-02 -3.727957219046110909e-02
5.254635736273758490e-02 3.619994996984672586e-02 -7.111227262778586911e-02
5.735593847298569442e-02 3.756463385376276887e-02 -1.039203311006458991e-01
6.218719842150511462e-02 3.885063693571763621e-02 -1.223844476825486777e-01
6.703698950180918270e-02 4.006503542831624937e-02 -1.428239409280259997e-01
7.190276490806372933e-02 4.121383599811341558e-02 -1.627478441079438232e-01
7.678243591790875899e-02 4.230219907481863606e-02 -1.817696785888340827e-01
8.167427467253440820e-02 4.333458712706636518e-02 -1.968494628012733005e-01
8.657683073103462912e-02 4.431489183855658737e-02 -2.115332746666340469e-01
9.148887414291631548e-02 4.524654101887134322e-02 -2.252815585215623695e-01
9.640936185645629375e-02 4.613256115798093637e-02 -2.414238468518042358e-01
1.013373948638053995e-01 4.697564499237706637e-02 -2.527543047714804203e-01
1.062721953991216106e-01 4.777821187497269945e-02 -2.612639105045190813e-01
1.112130856009093949e-01 4.854243229672826343e-02 -2.706273991298215331e-01
1.161594711136391400e-01 4.927026414085274031e-02 -2.798825479775164937e-01
1.211108291855318986e-01 4.996349495370758925e-02 -2.915073443495167504e-01
1.260666954964047570e-01 5.062375358614608356e-02 -2.993153409455581726e-01
1.310266580514289625e-01 5.125252141865180300e-02 -3.078182147392495849e-01
1.359903488333351063e-01 5.185116561653829725e-02 -3.144946336952613719e-01
1.409574383089507998e-01 5.242095300422939391e-02 -3.214228056613459561e-01
1.459276282107164202e-01 5.296304593717401921e-02 -3.291527739216839055e-01
1.509006511625637370e-01 5.347851916363106223e-02 -3.340673656033680272e-01
1.558762641521826420e-01 5.396838111409064248e-02 -3.408585077009959052e-01
1.608542450535777046e-01 5.443357339607286793e-02 -3.465255038943476640e-01
1.658343945785803464e-01 5.487496685289139364e-02 -3.523118784055933039e-01
1.708165288805135462e-01 5.529337744299447910e-02 -3.562892124705975827e-01
1.758004796871155961e-01 5.568958009888012872e-02 -3.616293734185214714e-01
1.807860923946428000e-01 5.606430309762738817e-02 -3.659308984327181435e-01
1.857732257174832535e-01 5.641822446015288400e-02 -3.702403677939803961e-01
1.907617498280993473e-01 5.675198533833485104e-02 -3.747660219845411755e-01
1.957515440852299060e-01 5.706620054184316504e-02 -3.789274121813151486e-01
2.007424970465899461e-01 5.736145230470955647e-02 -3.808554111429131028e-01
2.057345060555717531e-01 5.763828568089425508e-02 -3.839145546114859364e-01
