x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,1,5,2,0.4,1,-2,0,0.4
0.005,0.015,1,5,2,0.4,1,-2,0,0.4
0.005,0.025,1,5,2,0.4,1,-2,0,0.4
0.005,0.035,1,5,2,0.4,1,-2,0,0.4
0.005,0.045,1,5,2,0.4,1,-2,0,0.4
0.005,0.055,1,5,2,0.4,1,-2,0,0.4
0.005,0.065,1,5,2,0.4,1,-2,0,0.4
0.005,0.075,1,5,2,0.4,1,-2,0,0.4
0.005,0.085,1,5,2,0.4,1,-2,0,0.4
0.005,0.095,1.05057,5.0002,1.87071,0.55582,1,-2,0,0.4
0.005,0.105,1.73548,5.05492,-0.53563,9.03098,1,-2,0,0.4
0.005,0.115,3.00741,5.28493,-3.70489,34.9113,1,-2,0,0.4
0.005,0.125,4.38047,5.65682,-5.59173,62.8665,1,-2,0,0.4
0.005,0.135,5.59441,6.12726,-6.5423,82.9731,1,-2,0,0.4
0.005,0.145,6.71542,6.66233,-7.00953,95.3584,1,-2,0,0.4
0.005,0.155,7.88816,7.22129,-7.23837,102.671,1,-2,0,0.4
0.005,0.165,9.23108,7.76111,-7.35,107.066,1,-2,0,0.4
0.005,0.175,10.8151,8.24727,-7.40419,109.859,1,-2,0,0.4
0.005,0.185,12.6646,8.66048,-7.43021,111.798,1,-2,0,0.4
0.005,0.195,14.7643,8.99619,-7.4416,113.33,1,-2,0,0.4
0.005,0.205,17.0686,9.2599,-7.44364,114.771,1,-2,0,0.4
0.005,0.215,19.5161,9.46192,-7.43732,116.387,1,-2,0,0.4
0.005,0.225,22.0464,9.61371,-7.42138,118.451,1,-2,0,0.4
0.005,0.235,24.6159,9.72591,-7.3936,121.245,1,-2,0,0.4
0.005,0.245,27.2071,9.80764,-7.35173,125.05,1,-2,0,0.4
0.005,0.255,29.8289,9.86633,-7.2942,130.123,1,-2,0,0.4
0.005,0.265,32.51,9.90794,-7.22042,136.673,1,-2,0,0.4
0.005,0.275,35.2889,9.93708,-7.13093,144.857,1,-2,0,0.4
0.005,0.285,38.2042,9.95729,-7.02714,154.779,1,-2,0,0.4
