x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,93.0729,1.90458,-13.65,2614.01,1,-2,0,0.4
0.005,0.015,93.0502,1.83782,-13.4287,2607.62,1,-2,0,0.4
0.005,0.025,93.0038,1.77553,-13.2111,2601.72,1,-2,0,0.4
0.005,0.035,92.9244,1.71792,-12.9963,2596.16,1,-2,0,0.4
0.005,0.045,92.8024,1.66522,-12.7836,2590.79,1,-2,0,0.4
0.005,0.055,92.6285,1.61765,-12.5724,2585.43,1,-2,0,0.4
0.005,0.065,92.3942,1.57542,-12.362,2579.93,1,-2,0,0.4
0.005,0.075,92.0926,1.53863,-12.152,2574.11,1,-2,0,0.4
0.005,0.085,91.7195,1.50725,-11.9419,2567.85,1,-2,0,0.4
0.005,0.095,91.2734,1.48106,-11.7313,2561.01,1,-2,0,0.4
0.005,0.105,90.7562,1.45968,-11.52,2553.48,1,-2,0,0.4
0.005,0.115,90.1738,1.44247,-11.3075,2545.18,1,-2,0,0.4
0.005,0.125,89.5356,1.42856,-11.0938,2536.05,1,-2,0,0.4
0.005,0.135,88.8543,1.4169,-10.8787,2526.05,1,-2,0,0.4
0.005,0.145,88.146,1.40623,-10.662,2515.16,1,-2,0,0.4
0.005,0.155,87.4293,1.39514,-10.4437,2503.39,1,-2,0,0.4
0.005,0.165,86.7243,1.38217,-10.2237,2490.74,1,-2,0,0.4
0.005,0.175,86.0527,1.36579,-10.002,2477.24,1,-2,0,0.4
0.005,0.185,85.4363,1.34455,-9.77866,2462.9,1,-2,0,0.4
0.005,0.195,84.8969,1.31704,-9.55366,2447.72,1,-2,0,0.4
0.005,0.205,84.4556,1.28204,-9.32715,2431.7,1,-2,0,0.4
0.005,0.215,84.1323,1.23844,-9.09927,2414.81,1,-2,0,0.4
0.005,0.225,83.9459,1.18538,-8.87026,2397.01,1,-2,0,0.4
0.005,0.235,83.9134,1.12217,-8.64039,2378.19,1,-2,0,0.4
0.005,0.245,84.0507,1.04835,-8.40999,2358.27,1,-2,0,0.4
0.005,0.255,84.3723,0.963696,-8.17942,2337.09,1,-2,0,0.4
0.005,0.265,84.8918,0.868181,-7.94903,2314.54,1,-2,0,0.4
0.005,0.275,85.6221,0.762022,-7.71915,2290.48,1,-2,0,0.4
0.005,0.285,86.5757,0.645652,-7.49002,2264.81,1,-2,0,0.4
0.005,0.295,87.7649,0.519727,-7.26179,2237.48,1,-2,0,0.4
0.005,0.305,89.2014,0.385128,-7.03447,2208.46,1,-2,0,0.4
0.005,0.315,90.8963,0.242959,-6.80793,2177.78,1,-2,0,0.4
0.005,0.325,92.8598,0.0945491,-6.58189,2145.49,1,-2,0,0.4
0.005,0.335,95.1024,-0.0585706,-6.35577,2111.79,1,-2,0,0.4
0.005,0.345,97.643,-0.214754,-6.1283,2077.18,1,-2,0,0.4
0.005,0.355,100.502,-0.372801,-5.89831,2042.45,1,-2,0,0.4
0.005,0.365,103.624,-0.532877,-5.66932,2006.96,1,-2,0,0.4
0.005,0.375,106.997,-0.693794,-5.44127,1970.81,1,-2,0,0.4
0.005,0.385,110.61,-0.854463,-5.21391,1934.23,1,-2,0,0.4
0.005,0.395,114.452,-1.01387,-4.98691,1897.49,1,-2,0,0.4
0.005,0.405,118.513,-1.17096,-4.75961,1860.96,1,-2,0,0.4
0.005,0.415,122.808,-1.32422,-4.5304,1825.52,1,-2,0,0.4
0.005,0.425,127.304,-1.47273,-4.29971,1791.02,1,-2,0,0.4
0.005,0.435,131.975,-1.61648,-4.06738,1757.44,1,-2,0,0.4
0.005,0.445,136.795,-1.75546,-3.83284,1724.83,1,-2,0,0.4
0.005,0.455,141.743,-1.88963,-3.59534,1693.37,1,-2,0,0.4
0.005,0.465,146.8,-2.01906,-3.35396,1663.27,1,-2,0,0.4
0.005,0.475,151.93,-2.14401,-3.10813,1634.48,1,-2,0,0.4
0.005,0.485,157.057,-2.26494,-2.85803,1606.42,1,-2,0,0.4
0.005,0.495,162.073,-2.38227,-2.604,1578.33,1,-2,0,0.4
0.005,0.505,166.869,-2.49644,-2.34578,1549.66,1,-2,0,0.4
0.005,0.515,171.32,-2.60814,-2.0828,1519.9,1,-2,0,0.4
0.005,0.525,175.272,-2.71856,-1.81453,1488.36,1,-2,0,0.4
0.005,0.535,178.518,-2.82958,-1.54064,1454.02,1,-2,0,0.4
0.005,0.545,180.774,-2.94418,-1.26121,1415.41,1,-2,0,0.4
0.005,0.555,181.671,-3.06695,-0.976764,1370.66,1,-2,0,0.4
0.005,0.565,180.796,-3.20474,-0.687449,1318.12,1,-2,0,0.4
0.005,0.575,177.77,-3.36848,-0.391207,1257.72,1,-2,0,0.4
0.005,0.585,172.224,-3.57913,-0.0801015,1192.58,1,-2,0,0.4
0.005,0.595,162.714,-3.88303,0.258129,1123.71,1,-2,0,0.4
