x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,1,5,2,0.4,1,-2,0,0.4
0.005,0.015,1,5,2,0.4,1,-2,0,0.4
0.005,0.025,1,5,2,0.4,1,-2,0,0.4
0.005,0.035,1,5,2,0.4,1,-2,0,0.4
0.005,0.045,1,5,2,0.4,1,-2,0,0.4
0.005,0.055,1,5,2,0.4,1,-2,0,0.4
0.005,0.065,1,5,2,0.4,1,-2,0,0.4
0.005,0.075,1,5,2,0.4,1,-2,0,0.4
0.005,0.085,1,5,2,0.4,1,-2,0,0.4
0.005,0.095,1,5,2,0.4,1,-2,0,0.4
0.005,0.105,1,5,2,0.4,1,-2,0,0.4
0.005,0.115,1,5,2,0.4,1,-2,0,0.4
0.005,0.125,1,5,2,0.4,1,-2,0,0.4
0.005,0.135,1,5,2,0.4,1,-2,0,0.4
0.005,0.145,1,5,2,0.4,1,-2,0,0.4
0.005,0.155,1,5,2,0.4,1,-2,0,0.4
0.005,0.165,1,5,2,0.4,1,-2,0,0.4
0.005,0.175,1,5,2,0.4,1,-2,0,0.4
0.005,0.185,1,5,2,0.4,1,-2,0,0.4
0.005,0.195,1,5,2,0.4,1,-2,0,0.4
0.005,0.205,1,5,2,0.4,1,-2,0,0.4
0.005,0.215,1,5,2,0.4,1,-2,0,0.4
0.005,0.225,1,5,2,0.4,1,-2,0,0.4
0.005,0.235,1,5,2,0.4,1,-2,0,0.4
0.005,0.245,1,5,2,0.4,1,-2,0,0.4
0.005,0.255,1,5,2,0.4,1,-2,0,0.4
0.005,0.265,1,5,2,0.4,1,-2,0,0.4
0.005,0.275,1,5,2,0.4,1,-2,0,0.4
0.005,0.285,1,5,2,0.4,1,-2,0,0.4
0.005,0.295,1,5,2,0.4,1,-2,0,0.4
0.005,0.305,1,5,2,0.4,1,-2,0,0.4
0.005,0.315,1,5,2,0.4,1,-2,0,0.4
0.005,0.325,1.1246,5.00756,1.62243,1.01163,1,-2,0,0.4
0.005,0.335,2.00612,5.33085,-1.34097,13.5949,1,-2,0,0.4
0.005,0.345,3.62908,6.22484,-4.29846,41.2812,1,-2,0,0.4
