x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,27.1563,2.48918,-5.70358,411.892,1,-2,0,0.4
0.005,0.015,27.2563,2.4415,-5.5872,406.933,1,-2,0,0.4
0.005,0.025,27.3683,2.39215,-5.47105,401.924,1,-2,0,0.4
0.005,0.035,27.4921,2.34117,-5.35516,396.862,1,-2,0,0.4
0.005,0.045,27.6275,2.28862,-5.23954,391.745,1,-2,0,0.4
0.005,0.055,27.7742,2.23455,-5.12421,386.572,1,-2,0,0.4
0.005,0.065,27.9318,2.17905,-5.00919,381.34,1,-2,0,0.4
0.005,0.075,28.0999,2.12218,-4.89449,376.047,1,-2,0,0.4
0.005,0.085,28.2779,2.06401,-4.78012,370.691,1,-2,0,0.4
0.005,0.095,28.4652,2.00462,-4.6661,365.272,1,-2,0,0.4
0.005,0.105,28.661,1.9441,-4.55245,359.786,1,-2,0,0.4
0.005,0.115,28.8646,1.88252,-4.43917,354.234,1,-2,0,0.4
0.005,0.125,29.0749,1.81998,-4.32628,348.613,1,-2,0,0.4
0.005,0.135,29.2908,1.75656,-4.21379,342.924,1,-2,0,0.4
0.005,0.145,29.5113,1.69236,-4.10171,337.164,1,-2,0,0.4
0.005,0.155,29.7349,1.62747,-3.99003,331.337,1,-2,0,0.4
0.005,0.165,29.9623,1.56201,-3.87852,325.469,1,-2,0,0.4
0.005,0.175,30.1904,1.49606,-3.76737,319.542,1,-2,0,0.4
0.005,0.185,30.4169,1.42976,-3.65667,313.545,1,-2,0,0.4
0.005,0.195,30.6398,1.36324,-3.54641,307.479,1,-2,0,0.4
0.005,0.205,30.8572,1.29665,-3.4366,301.345,1,-2,0,0.4
0.005,0.215,31.0669,1.23014,-3.32722,295.146,1,-2,0,0.4
0.005,0.225,31.2669,1.16386,-3.21828,288.886,1,-2,0,0.4
0.005,0.235,31.4549,1.09793,-3.10974,282.569,1,-2,0,0.4
0.005,0.245,31.6288,1.0325,-3.00158,276.201,1,-2,0,0.4
0.005,0.255,31.7866,0.967691,-2.89374,269.789,1,-2,0,0.4
0.005,0.265,31.9264,0.903623,-2.78616,263.345,1,-2,0,0.4
0.005,0.275,32.0465,0.840413,-2.67874,256.879,1,-2,0,0.4
0.005,0.285,32.1457,0.778168,-2.57137,250.405,1,-2,0,0.4
0.005,0.295,32.2231,0.716988,-2.46392,243.943,1,-2,0,0.4
0.005,0.305,32.2783,0.656959,-2.35619,237.509,1,-2,0,0.4
0.005,0.315,32.3114,0.598153,-2.24801,231.127,1,-2,0,0.4
0.005,0.325,32.3231,0.540625,-2.13915,224.819,1,-2,0,0.4
0.005,0.335,32.3145,0.48441,-2.02935,218.609,1,-2,0,0.4
0.005,0.345,32.2871,0.429521,-1.91839,212.521,1,-2,0,0.4
0.005,0.355,32.2426,0.375948,-1.80603,206.575,1,-2,0,0.4
0.005,0.365,32.1814,0.32366,-1.69219,200.778,1,-2,0,0.4
0.005,0.375,32.103,0.27262,-1.5769,195.125,1,-2,0,0.4
0.005,0.385,32.0056,0.222792,-1.46031,189.603,1,-2,0,0.4
0.005,0.395,31.8879,0.174139,-1.34255,184.199,1,-2,0,0.4
0.005,0.405,31.7487,0.126625,-1.22379,178.907,1,-2,0,0.4
0.005,0.415,31.5875,0.0802029,-1.10413,173.721,1,-2,0,0.4
0.005,0.425,31.4045,0.0348125,-0.983684,168.645,1,-2,0,0.4
0.005,0.435,31.2008,-0.00963101,-0.862552,163.684,1,-2,0,0.4
0.005,0.445,30.9785,-0.0532522,-0.740825,158.851,1,-2,0,0.4
0.005,0.455,30.7405,-0.0962425,-0.618622,154.161,1,-2,0,0.4
0.005,0.465,30.4921,-0.138817,-0.496474,149.627,1,-2,0,0.4
0.005,0.475,30.2371,-0.181192,-0.374692,145.269,1,-2,0,0.4
0.005,0.485,29.9808,-0.223623,-0.253532,141.109,1,-2,0,0.4
0.005,0.495,29.7296,-0.266575,-0.133276,137.181,1,-2,0,0.4
0.005,0.505,29.5008,-0.312456,-0.0139817,133.538,1,-2,0,0.4
0.005,0.515,29.3179,-0.364333,0.103698,130.161,1,-2,0,0.4
0.005,0.525,29.1737,-0.417762,0.218344,127.168,1,-2,0,0.4
0.005,0.535,29.0769,-0.47339,0.32883,124.64,1,-2,0,0.4
0.005,0.545,29.0276,-0.532,0.434325,122.634,1,-2,0,0.4
0.005,0.555,29.026,-0.594482,0.534032,121.203,1,-2,0,0.4
0.005,0.565,29.0701,-0.661875,0.62734,120.391,1,-2,0,0.4
0.005,0.575,29.1482,-0.735294,0.713984,120.212,1,-2,0,0.4
0.005,0.585,29.2318,-0.815882,0.794166,120.647,1,-2,0,0.4
0.005,0.595,29.2677,-0.904841,0.868566,121.634,1,-2,0,0.4
0.005,0.605,29.1709,-1.0037,0.938224,123.07,1,-2,0,0.4
0.005,0.615,28.8194,-1.11518,1.00435,124.825,1,-2,0,0.4
0.005,0.625,28.0591,-1.24515,1.06822,126.755,1,-2,0,0.4
0.005,0.635,26.7282,-1.40636,1.13131,128.724,1,-2,0,0.4
0.005,0.645,24.7104,-1.62473,1.19583,130.638,1,-2,0,0.4
0.005,0.655,22.0164,-1.94987,1.26613,132.495,1,-2,0,0.4
0.005,0.665,18.8716,-2.47143,1.35196,134.471,1,-2,0,0.4
0.005,0.675,15.7611,-3.3364,1.47406,136.937,1,-2,0,0.4
0.005,0.685,13.3427,-4.7325,1.66527,139.991,1,-2,0,0.4
0.005,0.695,12.2892,-6.71765,1.95012,143.42,1,-2,0,0.4
0.005,0.705,13.1552,-8.9901,2.30511,146.62,1,-2,0,0.4
0.005,0.715,16.5464,-11.025,2.64355,149.309,1,-2,0,0.4
0.005,0.725,23.3818,-12.5139,2.87761,151.478,1,-2,0,0.4
0.005,0.735,34.8541,-13.476,2.98086,152.261,1,-2,0,0.4
0.005,0.745,51.8717,-14.0647,2.98594,149.432,1,-2,0,0.4
0.005,0.755,74.5497,-14.4211,2.93682,141.765,1,-2,0,0.4
0.005,0.765,102.271,-14.637,2.86601,130.858,1,-2,0,0.4
0.005,0.775,133.941,-14.7683,2.79644,119.397,1,-2,0,0.4
0.005,0.785,168.377,-14.8488,2.73964,109.542,1,-2,0,0.4
0.005,0.795,204.538,-14.8989,2.69871,102.306,1,-2,0,0.4
0.005,0.805,241.668,-14.9309,2.67283,97.9089,1,-2,0,0.4
0.005,0.815,279.441,-14.9519,2.66029,96.2769,1,-2,0,0.4
0.005,0.825,317.982,-14.9659,2.65928,97.2519,1,-2,0,0.4
0.005,0.835,357.679,-14.9754,2.66783,100.604,1,-2,0,0.4
0.005,0.845,398.894,-14.982,2.6837,106.016,1,-2,0,0.4
0.005,0.855,441.734,-14.9866,2.70461,113.105,1,-2,0,0.4
0.005,0.865,485.973,-14.9898,2.72849,121.467,1,-2,0,0.4
0.005,0.875,531.103,-14.9922,2.75368,130.716,1,-2,0,0.4
0.005,0.885,576.437,-14.994,2.779,140.509,1,-2,0,0.4
0.005,0.895,621.228,-14.9953,2.80363,150.553,1,-2,0,0.4
0.005,0.905,664.751,-14.9963,2.82706,160.602,1,-2,0,0.4
