x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,56.9555,2.24319,-10.191,1377.39,1,-2,0,0.4
0.005,0.015,56.4788,2.23984,-10.0157,1366.33,1,-2,0,0.4
0.005,0.025,56.0128,2.23522,-9.83962,1355.04,1,-2,0,0.4
0.005,0.035,55.5626,2.22881,-9.66279,1343.51,1,-2,0,0.4
0.005,0.045,55.1333,2.22008,-9.48523,1331.77,1,-2,0,0.4
0.005,0.055,54.7301,2.20854,-9.307,1319.8,1,-2,0,0.4
0.005,0.065,54.3578,2.1937,-9.12812,1307.64,1,-2,0,0.4
0.005,0.075,54.0214,2.1751,-8.94864,1295.26,1,-2,0,0.4
0.005,0.085,53.7254,2.15234,-8.76863,1282.69,1,-2,0,0.4
0.005,0.095,53.4745,2.12502,-8.58813,1269.92,1,-2,0,0.4
0.005,0.105,53.2728,2.09283,-8.4072,1256.95,1,-2,0,0.4
0.005,0.115,53.1245,2.05549,-8.22591,1243.78,1,-2,0,0.4
0.005,0.125,53.0334,2.01276,-8.04433,1230.41,1,-2,0,0.4
0.005,0.135,53.0032,1.96448,-7.86252,1216.83,1,-2,0,0.4
0.005,0.145,53.0373,1.91053,-7.68057,1203.04,1,-2,0,0.4
0.005,0.155,53.1389,1.85086,-7.49855,1189.02,1,-2,0,0.4
0.005,0.165,53.311,1.78545,-7.31654,1174.76,1,-2,0,0.4
0.005,0.175,53.5561,1.71437,-7.13464,1160.25,1,-2,0,0.4
0.005,0.185,53.8765,1.63772,-6.95295,1145.47,1,-2,0,0.4
0.005,0.195,54.2741,1.55566,-6.77158,1130.38,1,-2,0,0.4
0.005,0.205,54.75,1.46839,-6.59063,1114.97,1,-2,0,0.4
0.005,0.215,55.3051,1.37621,-6.41024,1099.2,1,-2,0,0.4
0.005,0.225,55.9392,1.27941,-6.23051,1083.04,1,-2,0,0.4
0.005,0.235,56.6515,1.17837,-6.05159,1066.44,1,-2,0,0.4
0.005,0.245,57.4401,1.07351,-5.87356,1049.38,1,-2,0,0.4
0.005,0.255,58.3022,0.965312,-5.69652,1031.83,1,-2,0,0.4
0.005,0.265,59.2338,0.85428,-5.5205,1013.75,1,-2,0,0.4
0.005,0.275,60.2301,0.740978,-5.34547,995.145,1,-2,0,0.4
0.005,0.285,61.2852,0.626006,-5.17135,976.014,1,-2,0,0.4
0.005,0.295,62.3923,0.510003,-4.99794,956.385,1,-2,0,0.4
0.005,0.305,63.5441,0.393639,-4.82495,936.306,1,-2,0,0.4
0.005,0.315,64.7331,0.277617,-4.65196,915.848,1,-2,0,0.4
0.005,0.325,65.9516,0.162684,-4.47841,895.113,1,-2,0,0.4
0.005,0.335,67.1957,0.0496995,-4.30335,874.28,1,-2,0,0.4
0.005,0.345,68.4686,-0.0600695,-4.12525,853.654,1,-2,0,0.4
0.005,0.355,69.7782,-0.165769,-3.94266,833.585,1,-2,0,0.4
0.005,0.365,71.0741,-0.268548,-3.75873,813.414,1,-2,0,0.4
0.005,0.375,72.3339,-0.36862,-3.57488,793.025,1,-2,0,0.4
0.005,0.385,73.5432,-0.465825,-3.39089,772.435,1,-2,0,0.4
0.005,0.395,74.6885,-0.56002,-3.20651,751.677,1,-2,0,0.4
0.005,0.405,75.7573,-0.651114,-3.02141,730.796,1,-2,0,0.4
0.005,0.415,76.7378,-0.739059,-2.83521,709.847,1,-2,0,0.4
0.005,0.425,77.6201,-0.823848,-2.64746,688.897,1,-2,0,0.4
0.005,0.435,78.3946,-0.905517,-2.45772,668.007,1,-2,0,0.4
0.005,0.445,79.0513,-0.984142,-2.26554,647.217,1,-2,0,0.4
0.005,0.455,79.5796,-1.05984,-2.07054,626.553,1,-2,0,0.4
0.005,0.465,79.9692,-1.13278,-1.87229,606.033,1,-2,0,0.4
0.005,0.475,80.2086,-1.2032,-1.67046,585.656,1,-2,0,0.4
0.005,0.485,80.2839,-1.27143,-1.46478,565.391,1,-2,0,0.4
0.005,0.495,80.1793,-1.33786,-1.25511,545.189,1,-2,0,0.4
0.005,0.505,79.8782,-1.40298,-1.04137,524.998,1,-2,0,0.4
0.005,0.515,79.3659,-1.46741,-0.823508,504.787,1,-2,0,0.4
0.005,0.525,78.6314,-1.53209,-0.601469,484.554,1,-2,0,0.4
0.005,0.535,77.6717,-1.59861,-0.375153,464.355,1,-2,0,0.4
0.005,0.545,76.5125,-1.67019,-0.143927,444.377,1,-2,0,0.4
0.005,0.555,75.1997,-1.7564,0.0926444,424.489,1,-2,0,0.4
0.005,0.565,73.4369,-1.85611,0.33185,404.651,1,-2,0,0.4
0.005,0.575,71.1149,-1.97137,0.568951,385.923,1,-2,0,0.4
0.005,0.585,68.1984,-2.11255,0.799192,369.201,1,-2,0,0.4
0.005,0.595,64.584,-2.29524,1.01716,355.521,1,-2,0,0.4
0.005,0.605,60.0122,-2.54606,1.21877,345.992,1,-2,0,0.4
0.005,0.615,54.1239,-2.91899,1.40772,341.641,1,-2,0,0.4
0.005,0.625,46.9177,-3.53672,1.60766,343.178,1,-2,0,0.4
0.005,0.635,39.609,-4.64409,1.87392,350.602,1,-2,0,0.4
0.005,0.645,34.9422,-6.52787,2.2758,360.457,1,-2,0,0.4
0.005,0.655,36.0279,-9.04984,2.79256,362.352,1,-2,0,0.4
0.005,0.665,45.5638,-11.4167,3.21624,348.89,1,-2,0,0.4
0.005,0.675,66.4017,-13.0264,3.35909,324.97,1,-2,0,0.4
0.005,0.685,99.499,-13.9358,3.29771,290.242,1,-2,0,0.4
0.005,0.695,142.435,-14.4235,3.15953,245.361,1,-2,0,0.4
0.005,0.705,190.994,-14.6846,3.01173,199.694,1,-2,0,0.4
0.005,0.715,241.308,-14.8253,2.89039,162.459,1,-2,0,0.4
0.005,0.725,291.758,-14.9012,2.80932,138.158,1,-2,0,0.4
0.005,0.735,342.741,-14.9422,2.76702,126.269,1,-2,0,0.4
0.005,0.745,395.213,-14.9646,2.75424,123.802,1,-2,0,0.4
0.005,0.755,449.592,-14.9773,2.76053,127.597,1,-2,0,0.4
0.005,0.765,505.493,-14.9848,2.77756,135.242,1,-2,0,0.4
0.005,0.775,561.941,-14.9894,2.7998,145.098,1,-2,0,0.4
0.005,0.785,617.683,-14.9925,2.82386,156.071,1,-2,0,0.4
0.005,0.795,671.431,-14.9946,2.8478,167.418,1,-2,0,0.4
0.005,0.805,722.035,-14.9961,2.87053,178.618,1,-2,0,0.4
0.005,0.815,768.58,-14.9972,2.89145,189.305,1,-2,0,0.4
0.005,0.825,810.431,-14.998,2.91028,199.225,1,-2,0,0.4
0.005,0.835,847.243,-14.9986,2.92691,208.214,1,-2,0,0.4
0.005,0.845,878.935,-14.999,2.94133,216.18,1,-2,0,0.4
0.005,0.855,905.655,-14.9993,2.95362,223.091,1,-2,0,0.4
0.005,0.865,927.723,-14.9995,2.96393,228.962,1,-2,0,0.4
0.005,0.875,945.58,-14.9997,2.97242,233.846,1,-2,0,0.4
0.005,0.885,959.739,-14.9998,2.97927,237.824,1,-2,0,0.4
0.005,0.895,970.741,-14.9999,2.98471,240.995,1,-2,0,0.4
0.005,0.905,979.118,-14.9999,2.98892,243.468,1,-2,0,0.4
0.005,0.915,985.367,-14.9999,2.99213,245.354,1,-2,0,0.4
0.005,0.925,989.934,-15,2.99452,246.761,1,-2,0,0.4
0.005,0.935,993.204,-15,2.99626,247.787,1,-2,0,0.4
0.005,0.945,995.497,-15,2.99749,248.518,1,-2,0,0.4
0.005,0.955,997.072,-15,2.99836,249.028,1,-2,0,0.4
0.005,0.965,998.132,-15,2.99894,249.375,1,-2,0,0.4
0.005,0.975,998.831,-15,2.99933,249.606,1,-2,0,0.4
0.005,0.985,999.282,-15,2.99959,249.757,1,-2,0,0.4
0.005,0.995,999.567,-15,2.99975,249.853,1,-2,0,0.4
0.015,0.005,55.7775,2.36534,-10.1859,1337.34,1,-2,0,0.4
0.015,0.015,55.2993,2.36314,-10.0105,1326.24,1,-2,0,0.4
0.015,0.025,54.8314,2.35967,-9.83429,1314.9,1,-2,0,0.4
0.015,0.035,54.3788,2.35443,-9.65732,1303.33,1,-2,0,0.4
0.015,0.045,53.9465,2.34688,-9.47959,1291.53,1,-2,0,0.4
0.015,0.055,53.5395,2.33651,-9.30115,1279.52,1,-2,0,0.4
0.015,0.065,53.1626,2.32285,-9.12202,1267.3,1,-2,0,0.4
0.015,0.075,52.8205,2.30543,-8.94224,1254.87,1,-2,0,0.4
0.015,0.085,52.5177,2.28383,-8.76185,1242.23,1,-2,0,0.4
0.015,0.095,52.2587,2.25767,-8.58091,1229.39,1,-2,0,0.4
0.015,0.105,52.0474,2.22661,-8.39945,1216.34,1,-2,0,0.4
0.015,0.115,51.8879,2.19038,-8.21753,1203.08,1,-2,0,0.4
0.015,0.125,51.7839,2.14874,-8.03519,1189.61,1,-2,0,0.4
0.015,0.135,51.7389,2.10152,-7.85248,1175.92,1,-2,0,0.4
0.015,0.145,51.7562,2.04859,-7.66945,1162,1,-2,0,0.4
