x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,2.96257,5.17592,-3.77092,35.416,1,-2,0,0.4
0.005,0.015,4.28476,5.40843,-5.63221,63.8793,1,-2,0,0.4
0.005,0.025,5.32967,5.71945,-6.59044,84.1829,1,-2,0,0.4
0.005,0.035,6.18051,6.09842,-7.06558,96.5015,1,-2,0,0.4
0.005,0.045,6.97215,6.53088,-7.30065,103.595,1,-2,0,0.4
0.005,0.055,7.81752,6.99409,-7.41617,107.681,1,-2,0,0.4
0.005,0.065,8.79514,7.46052,-7.47133,110.116,1,-2,0,0.4
0.005,0.075,9.95598,7.90405,-7.49497,111.69,1,-2,0,0.4
0.005,0.085,11.3232,8.30528,-7.50319,112.783,1,-2,0,0.4
0.005,0.095,12.898,8.65343,-7.50407,113.612,1,-2,0,0.4
0.005,0.105,14.6628,8.94564,-7.50121,114.325,1,-2,0,0.4
0.005,0.115,16.5826,9.18467,-7.49606,115.022,1,-2,0,0.4
0.005,0.125,18.6109,9.37638,-7.48881,115.788,1,-2,0,0.4
0.005,0.135,20.6978,9.52778,-7.47866,116.722,1,-2,0,0.4
0.005,0.145,22.7987,9.64582,-7.46425,117.941,1,-2,0,0.4
0.005,0.155,24.8811,9.73678,-7.44396,119.583,1,-2,0,0.4
0.005,0.165,26.9296,9.80611,-7.41615,121.793,1,-2,0,0.4
0.005,0.175,28.9461,9.85838,-7.37941,124.718,1,-2,0,0.4
0.005,0.185,30.9477,9.89736,-7.3327,128.495,1,-2,0,0.4
0.005,0.195,32.9614,9.92613,-7.27548,133.241,1,-2,0,0.4
0.005,0.205,35.0182,9.94716,-7.20778,139.048,1,-2,0,0.4
0.005,0.215,37.1485,9.9624,-7.13011,145.984,1,-2,0,0.4
0.005,0.225,39.3794,9.97337,-7.04347,154.101,1,-2,0,0.4
0.005,0.235,41.741,9.98121,-6.94961,163.492,1,-2,0,0.4
0.005,0.245,44.3224,9.98662,-6.85476,174.728,1,-2,0,0.4
0.005,0.255,47.6121,9.98817,-6.79706,192.472,1,-2,0,0.4
0.005,0.265,53.9099,9.96379,-7.00254,254.024,1,-2,0,0.4
0.005,0.275,69.6328,9.76501,-8.178,576.947,1,-2,0,0.4
0.005,0.285,101.532,9.02729,-10.594,1703.99,1,-2,0,0.4
0.005,0.295,146.521,7.53512,-13.0499,3899.04,1,-2,0,0.4
0.005,0.305,197.092,5.41061,-14.5331,6783.87,1,-2,0,0.4
0.005,0.315,241.925,3.34278,-14.9404,9488.71,1,-2,0,0.4
0.005,0.325,270.28,1.7966,-14.7065,11235.6,1,-2,0,0.4
0.005,0.335,284.4,0.704727,-14.1831,12087.2,1,-2,0,0.4
0.005,0.345,290.712,-0.0815091,-13.5479,12411.5,1,-2,0,0.4
0.005,0.355,294.647,-0.663056,-12.8748,12550.8,1,-2,0,0.4
0.005,0.365,297.259,-1.10044,-12.2459,12670.8,1,-2,0,0.4
0.005,0.375,298.051,-1.44162,-11.694,12801.6,1,-2,0,0.4
0.005,0.385,296.915,-1.725,-11.2192,12937.3,1,-2,0,0.4
0.005,0.395,294.237,-1.97786,-10.8109,13068.6,1,-2,0,0.4
0.005,0.405,290.651,-2.21745,-10.4562,13190.6,1,-2,0,0.4
0.005,0.415,286.824,-2.45358,-10.1438,13301.8,1,-2,0,0.4
0.005,0.425,283.341,-2.69114,-9.86433,13403.1,1,-2,0,0.4
0.005,0.435,280.685,-2.93207,-9.60984,13497.9,1,-2,0,0.4
0.005,0.445,279.234,-3.17703,-9.37297,13591.5,1,-2,0,0.4
0.005,0.455,279.268,-3.42639,-9.14702,13689.7,1,-2,0,0.4
0.005,0.465,281.007,-3.68072,-8.92548,13799.2,1,-2,0,0.4
0.005,0.475,284.642,-3.94082,-8.70187,13928.1,1,-2,0,0.4
0.005,0.485,290.4,-4.20753,-8.46869,14088.2,1,-2,0,0.4
0.005,0.495,298.894,-4.47999,-8.20868,14317.3,1,-2,0,0.4
0.005,0.505,310.009,-4.75872,-7.92819,14601.2,1,-2,0,0.4
0.005,0.515,323.895,-5.04707,-7.62726,14942,1,-2,0,0.4
0.005,0.525,340.952,-5.34341,-7.30149,15357.4,1,-2,0,0.4
0.005,0.535,361.39,-5.64647,-6.95314,15851.2,1,-2,0,0.4
0.005,0.545,385.287,-5.95471,-6.58769,16420.2,1,-2,0,0.4
0.005,0.555,412.909,-6.26497,-6.20608,17075.6,1,-2,0,0.4
0.005,0.565,444.517,-6.57379,-5.80931,17831.1,1,-2,0,0.4
0.005,0.575,480.229,-6.87739,-5.40019,18696.5,1,-2,0,0.4
0.005,0.585,519.929,-7.17128,-4.98342,19675.4,1,-2,0,0.4
0.005,0.595,563.229,-7.45,-4.56472,20766.6,1,-2,0,0.4
0.005,0.605,609.363,-7.70817,-4.15044,21960,1,-2,0,0.4
0.005,0.615,657.119,-7.94144,-3.74753,23233.2,1,-2,0,0.4
0.005,0.625,704.98,-8.14669,-3.36276,24554.4,1,-2,0,0.4
0.005,0.635,751.402,-8.32255,-3.00177,25888.2,1,-2,0,0.4
0.005,0.645,795.093,-8.4696,-2.66835,27201.3,1,-2,0,0.4
0.005,0.655,835.21,-8.59007,-2.36427,28467.1,1,-2,0,0.4
0.005,0.665,871.384,-8.68724,-2.08952,29667.2,1,-2,0,0.4
0.005,0.675,903.648,-8.76485,-1.84285,30791.2,1,-2,0,0.4
0.005,0.685,932.299,-8.82659,-1.62218,31835,1,-2,0,0.4
0.005,0.695,957.768,-8.87579,-1.42506,32799.8,1,-2,0,0.4
0.005,0.705,980.52,-8.91531,-1.24891,33689.3,1,-2,0,0.4
0.005,0.715,1000.99,-8.94748,-1.09125,34509.6,1,-2,0,0.4
0.005,0.725,1019.55,-8.97412,-0.94977,35266.8,1,-2,0,0.4
0.005,0.735,1036.51,-8.99662,-0.822436,35967.5,1,-2,0,0.4
0.005,0.745,1052.09,-9.01603,-0.707486,36617.4,1,-2,0,0.4
0.005,0.755,1066.47,-9.03307,-0.603441,37221.2,1,-2,0,0.4
0.005,0.765,1079.77,-9.04826,-0.509094,37783,1,-2,0,0.4
0.005,0.775,1092.07,-9.06196,-0.423473,38305.6,1,-2,0,0.4
0.005,0.785,1103.42,-9.07438,-0.345815,38791.1,1,-2,0,0.4
0.005,0.795,1113.87,-9.08568,-0.275522,39240.6,1,-2,0,0.4
0.005,0.805,1123.43,-9.09593,-0.212124,39654.8,1,-2,0,0.4
0.005,0.815,1132.12,-9.10519,-0.155247,40034.1,1,-2,0,0.4
0.005,0.825,1139.95,-9.11349,-0.104572,40378.4,1,-2,0,0.4
0.005,0.835,1146.93,-9.12086,-0.0598074,40688,1,-2,0,0.4
0.005,0.845,1153.08,-9.12732,-0.0206662,40963.2,1,-2,0,0.4
0.005,0.855,1158.43,-9.13292,0.0131586,41204.5,1,-2,0,0.4
0.005,0.865,1163.03,-9.13769,0.0420044,41413.1,1,-2,0,0.4
0.005,0.875,1166.9,-9.1417,0.0662464,41590.5,1,-2,0,0.4
0.005,0.885,1170.13,-9.14501,0.0862969,41738.9,1,-2,0,0.4
0.005,0.895,1172.76,-9.14769,0.102599,41860.7,1,-2,0,0.4
0.005,0.905,1174.86,-9.14983,0.115614,41958.8,1,-2,0,0.4
0.005,0.915,1176.51,-9.15149,0.125809,42036.2,1,-2,0,0.4
0.005,0.925,1177.79,-9.15276,0.133637,42096.1,1,-2,0,0.4
0.005,0.935,1178.75,-9.15371,0.139527,42141.4,1,-2,0,0.4
0.005,0.945,1179.45,-9.15441,0.143865,42175,1,-2,0,0.4
0.005,0.955,1179.97,-9.15491,0.146993,42199.3,1,-2,0,0.4
0.005,0.965,1180.33,-9.15526,0.1492,42216.6,1,-2,0,0.4
0.005,0.975,1180.58,-9.15551,0.150723,42228.6,1,-2,0,0.4
0.005,0.985,1180.75,-9.15567,0.15175,42236.7,1,-2,0,0.4
0.005,0.995,1180.86,-9.15577,0.152425,42242.2,1,-2,0,0.4
0.015,0.005,2.96257,5.17592,-3.77092,35.416,1,-2,0,0.4
0.015,0.015,4.28476,5.40843,-5.63221,63.8793,1,-2,0,0.4
0.015,0.025,5.32967,5.71945,-6.59044,84.1829,1,-2,0,0.4
0.015,0.035,6.18051,6.09842,-7.06558,96.5015,1,-2,0,0.4
0.015,0.045,6.97215,6.53088,-7.30065,103.595,1,-2,0,0.4
0.015,0.055,7.81752,6.99409,-7.41617,107.681,1,-2,0,0.4
0.015,0.065,8.79514,7.46052,-7.47133,110.116,1,-2,0,0.4
0.015,0.075,9.95598,7.90405,-7.49497,111.69,1,-2,0,0.4
0.015,0.085,11.3232,8.30528,-7.50319,112.783,1,-2,0,0.4
0.015,0.095,12.898,8.65343,-7.50407,113.612,1,-2,0,0.4
0.015,0.105,14.6628,8.94564,-7.50121,114.325,1,-2,0,0.4
0.015,0.115,16.5826,9.18467,-7.49606,115.022,1,-2,0,0.4
0.015,0.125,18.6109,9.37638,-7.48881,115.788,1,-2,0,0.4
0.015,0.135,20.6978,9.52778,-7.47866,116.722,1,-2,0,0.4
0.015,0.145,22.7987,9.64582,-7.46425,117.941,1,-2,0,0.4
0.015,0.155,24.8811,9.73678,-7.44396,119.583,1,-2,0,0.4
0.015,0.165,26.9296,9.80611,-7.41615,121.793,1,-2,0,0.4
0.015,0.175,28.9461,9.85838,-7.37941,124.718,1,-2,0,0.4
0.015,0.185,30.9477,9.89736,-7.3327,128.495,1,-2,0,0.4
0.015,0.195,32.9614,9.92613,-7.27548,133.241,1,-2,0,0.4
0.015,0.205,35.0182,9.94716,-7.20778,139.048,1,-2,0,0.4
0.015,0.215,37.1487,9.9624,-7.13012,145.985,1,-2,0,0.4
0.015,0.225,39.3808,9.97335,-7.04355,154.11,1,-2,0,0.4
0.015,0.235,41.752,9.98107,-6.95034,163.568,1,-2,0,0.4
0.015,0.245,44.4029,9.98528,-6.86072,175.405,1,-2,0,0.4
0.015,0.255,48.1164,9.97517,-6.84273,198.628,1,-2,0,0.4
0.015,0.265,56.2916,9.85352,-7.26352,305.679,1,-2,0,0.4
0.015,0.275,77.5059,9.19735,-8.92766,864.451,1,-2,0,0.4
0.015,0.285,121.96,7.5456,-11.4929,2609.22,1,-2,0,0.4
0.015,0.295,193.896,5.19464,-13.3083,5975.18,1,-2,0,0.4
0.015,0.305,261.955,3.30485,-13.96,9546.81,1,-2,0,0.4
0.015,0.315,301.045,2.02449,-13.8815,11746.6,1,-2,0,0.4
0.015,0.325,318.485,1.11442,-13.4235,12691.8,1,-2,0,0.4
0.015,0.335,324.664,0.431227,-12.8227,12956.1,1,-2,0,0.4
0.015,0.345,325.242,-0.105207,-12.2249,12961.4,1,-2,0,0.4
0.015,0.355,321.545,-0.535442,-11.7132,12898.3,1,-2,0,0.4
0.015,0.365,314.926,-0.884392,-11.2902,12833.6,1,-2,0,0.4
0.015,0.375,306.867,-1.17753,-10.9361,12791.2,1,-2,0,0.4
0.015,0.385,298.529,-1.43767,-10.6288,12775,1,-2,0,0.4
0.015,0.395,290.697,-1.68128,-10.3511,12781.5,1,-2,0,0.4
0.015,0.405,283.864,-1.9187,-10.0922,12805.6,1,-2,0,0.4
0.015,0.415,278.324,-2.15576,-9.84634,12842.1,1,-2,0,0.4
0.015,0.425,274.268,-2.3954,-9.61034,12887.4,1,-2,0,0.4
0.015,0.435,271.838,-2.63896,-9.3818,12940.3,1,-2,0,0.4
0.015,0.445,271.161,-2.88717,-9.15783,13001.9,1,-2,0,0.4
0.015,0.455,272.354,-3.14081,-8.93482,13074.9,1,-2,0,0.4
0.015,0.465,275.547,-3.40092,-8.70825,13164.2,1,-2,0,0.4
0.015,0.475,280.896,-3.6687,-8.47291,13276.8,1,-2,0,0.4
0.015,0.485,288.715,-3.94509,-8.22,13429.1,1,-2,0,0.4
0.015,0.495,299.588,-4.22768,-7.93584,13652.8,1,-2,0,0.4
0.015,0.505,313.343,-4.51914,-7.63156,13926.4,1,-2,0,0.4
0.015,0.515,330.389,-4.82107,-7.30263,14263.8,1,-2,0,0.4
0.015,0.525,351.182,-5.13177,-6.94761,14679.8,1,-2,0,0.4
0.015,0.535,376.051,-5.44976,-6.57016,15178.8,1,-2,0,0.4
0.015,0.545,405.256,-5.77316,-6.17577,15762,1,-2,0,0.4
0.015,0.555,439.245,-6.09838,-5.76631,16443.6,1,-2,0,0.4
0.015,0.565,478.475,-6.42145,-5.34364,17240.6,1,-2,0,0.4
0.015,0.575,523.264,-6.73791,-4.91125,18167.2,1,-2,0,0.4
0.015,0.585,573.672,-7.04253,-4.47395,19232.5,1,-2,0,0.4
0.015,0.595,629.269,-7.33089,-4.03713,20434.2,1,-2,0,0.4
0.015,0.605,688.945,-7.59905,-3.60731,21754.9,1,-2,0,0.4
0.015,0.615,750.953,-7.84233,-3.19164,23165.6,1,-2,0,0.4
0.015,0.625,813.088,-8.05644,-2.7971,24628,1,-2,0,0.4
0.015,0.635,873.075,-8.2389,-2.42933,26100.3,1,-2,0,0.4
0.015,0.645,929.015,-8.3897,-2.09194,27544.2,1,-2,0,0.4
0.015,0.655,979.687,-8.5111,-1.78634,28929.1,1,-2,0,0.4
0.015,0.665,1024.61,-8.60682,-1.51207,30234.5,1,-2,0,0.4
0.015,0.675,1063.91,-8.68121,-1.2674,31449.3,1,-2,0,0.4
0.015,0.685,1098.1,-8.73855,-1.04988,32570.1,1,-2,0,0.4
0.015,0.695,1127.92,-8.78272,-0.856719,33598.9,1,-2,0,0.4
0.015,0.705,1154.09,-8.81695,-0.685089,34541.5,1,-2,0,0.4
0.015,0.715,1177.31,-8.84388,-0.532298,35405.3,1,-2,0,0.4
0.015,0.725,1198.15,-8.86552,-0.395882,36198.4,1,-2,0,0.4
0.015,0.735,1217.06,-8.88336,-0.273665,36929,1,-2,0,0.4
0.015,0.745,1234.38,-8.89849,-0.163773,37604,1,-2,0,0.4
0.015,0.755,1250.35,-8.91165,-0.06464,38229.5,1,-2,0,0.4
0.015,0.765,1265.14,-8.92333,0.025019,38810.4,1,-2,0,0.4
0.015,0.775,1278.86,-8.93387,0.106232,39350.3,1,-2,0,0.4
0.015,0.785,1291.58,-8.94344,0.179807,39851.7,1,-2,0,0.4
0.015,0.795,1303.33,-8.95216,0.246373,40316.2,1,-2,0,0.4
0.015,0.805,1314.13,-8.96009,0.306417,40744.9,1,-2,0,0.4
0.015,0.815,1323.99,-8.96726,0.360324,41138,1,-2,0,0.4
0.015,0.825,1332.92,-8.97369,0.408411,41495.8,1,-2,0,0.4
0.015,0.835,1340.92,-8.97938,0.450958,41818.2,1,-2,0,0.4
0.015,0.845,1348,-8.98437,0.488236,42105.6,1,-2,0,0.4
0.015,0.855,1354.2,-8.98867,0.520527,42358.4,1,-2,0,0.4
0.015,0.865,1359.55,-8.99233,0.548138,42577.6,1,-2,0,0.4
0.015,0.875,1364.08,-8.99539,0.571411,42764.8,1,-2,0,0.4
0.015,0.885,1367.87,-8.9979,0.590722,42921.9,1,-2,0,0.4
0.015,0.895,1370.97,-8.99993,0.606476,43051.3,1,-2,0,0.4
0.015,0.905,1373.47,-9.00154,0.6191,43156,1,-2,0,0.4
0.015,0.915,1375.44,-9.00279,0.629026,43239,1,-2,0,0.4
0.015,0.925,1376.96,-9.00374,0.636678,43303.4,1,-2,0,0.4
0.015,0.935,1378.12,-9.00445,0.642458,43352.3,1,-2,0,0.4
0.015,0.945,1378.98,-9.00497,0.646734,43388.8,1,-2,0,0.4
0.015,0.955,1379.6,-9.00535,0.649831,43415.3,1,-2,0,0.4
0.015,0.965,1380.04,-9.00561,0.652026,43434.2,1,-2,0,0.4
0.015,0.975,1380.35,-9.00579,0.653547,43447.4,1,-2,0,0.4
0.015,0.985,1380.56,-9.00591,0.654578,43456.4,1,-2,0,0.4
0.015,0.995,1380.7,-9.00598,0.655259,43462.4,1,-2,0,0.4
0.025,0.005,2.96257,5.17592,-3.77092,35.416,1,-2,0,0.4
0.025,0.015,4.28476,5.40843,-5.63221,63.8793,1,-2,0,0.4
0.025,0.025,5.32967,5.71945,-6.59044,84.1829,1,-2,0,0.4
0.025,0.035,6.18051,6.09842,-7.06558,96.5015,1,-2,0,0.4
0.025,0.045,6.97215,6.53088,-7.30065,103.595,1,-2,0,0.4
0.025,0.055,7.81752,6.99409,-7.41617,107.681,1,-2,0,0.4
0.025,0.065,8.79514,7.46052,-7.47133,110.116,1,-2,0,0.4
0.025,0.075,9.95598,7.90405,-7.49497,111.69,1,-2,0,0.4
0.025,0.085,11.3232,8.30528,-7.50319,112.783,1,-2,0,0.4
0.025,0.095,12.898,8.65343,-7.50407,113.612,1,-2,0,0.4
0.025,0.105,14.6628,8.94564,-7.50121,114.325,1,-2,0,0.4
0.025,0.115,16.5826,9.18467,-7.49606,115.022,1,-2,0,0.4
0.025,0.125,18.6109,9.37638,-7.48881,115.788,1,-2,0,0.4
0.025,0.135,20.6978,9.52778,-7.47866,116.722,1,-2,0,0.4
0.025,0.145,22.7987,9.64582,-7.46425,117.941,1,-2,0,0.4
0.025,0.155,24.8811,9.73678,-7.44396,119.583,1,-2,0,0.4
0.025,0.165,26.9296,9.80611,-7.41615,121.793,1,-2,0,0.4
0.025,0.175,28.9461,9.85838,-7.37941,124.718,1,-2,0,0.4
0.025,0.185,30.9477,9.89736,-7.3327,128.495,1,-2,0,0.4
0.025,0.195,32.9614,9.92613,-7.27548,133.241,1,-2,0,0.4
0.025,0.205,35.0187,9.94715,-7.20781,139.05,1,-2,0,0.4
0.025,0.215,37.1521,9.96236,-7.13035,146.005,1,-2,0,0.4
0.025,0.225,39.4049,9.973,-7.04521,154.272,1,-2,0,0.4
0.025,0.235,41.9125,9.97798,-6.96256,164.876,1,-2,0,0.4
0.025,0.245,45.3429,9.95789,-6.94599,186.08,1,-2,0,0.4
0.025,0.255,52.4749,9.75703,-7.31868,281.948,1,-2,0,0.4
0.025,0.265,71.0877,8.72867,-8.78113,782.969,1,-2,0,0.4
0.025,0.275,117.1,6.26626,-10.9743,2479.67,1,-2,0,0.4
0.025,0.285,198.604,3.73646,-12.4163,5842.19,1,-2,0,0.4
0.025,0.295,273.428,2.35427,-13.0594,9343.42,1,-2,0,0.4
0.025,0.305,319.758,1.641,-13.1591,11745.9,1,-2,0,0.4
0.025,0.315,341.063,1.16977,-12.9264,12965.6,1,-2,0,0.4
0.025,0.325,345.609,0.772841,-12.5351,13356.6,1,-2,0,0.4
0.025,0.335,340.843,0.407754,-12.1026,13322.3,1,-2,0,0.4
0.025,0.345,331.423,0.0689915,-11.693,13130.3,1,-2,0,0.4
0.025,0.355,319.855,-0.244019,-11.334,12904.1,1,-2,0,0.4
0.025,0.365,307.87,-0.534423,-11.0143,12697.6,1,-2,0,0.4
0.025,0.375,296.752,-0.806826,-10.719,12539.9,1,-2,0,0.4
0.025,0.385,287.065,-1.06671,-10.4395,12435.1,1,-2,0,0.4
0.025,0.395,278.958,-1.3191,-10.172,12374.4,1,-2,0,0.4
0.025,0.405,272.484,-1.56799,-9.9144,12346.6,1,-2,0,0.4
0.025,0.415,267.689,-1.81631,-9.66575,12341.7,1,-2,0,0.4
0.025,0.425,264.633,-2.06612,-9.42456,12353.1,1,-2,0,0.4
0.025,0.435,263.398,-2.31901,-9.18848,12377.5,1,-2,0,0.4
0.025,0.445,264.08,-2.57636,-8.95424,12414.5,1,-2,0,0.4
0.025,0.455,266.792,-2.8397,-8.71772,12466.1,1,-2,0,0.4
0.025,0.465,271.68,-3.11057,-8.47404,12536.6,1,-2,0,0.4
0.025,0.475,278.945,-3.39037,-8.2177,12633.5,1,-2,0,0.4
0.025,0.485,289.106,-3.67936,-7.93618,12782.6,1,-2,0,0.4
0.025,0.495,302.526,-3.9747,-7.62606,12995.5,1,-2,0,0.4
0.025,0.505,319.276,-4.28056,-7.29401,13261.6,1,-2,0,0.4
0.025,0.515,339.914,-4.59642,-6.93635,13597.7,1,-2,0,0.4
0.025,0.525,365.019,-4.92057,-6.55345,14017.4,1,-2,0,0.4
0.025,0.535,395.082,-5.25143,-6.14995,14526.6,1,-2,0,0.4
0.025,0.545,430.604,-5.58692,-5.73114,15131.3,1,-2,0,0.4
0.025,0.555,472.273,-5.9236,-5.29939,15848.2,1,-2,0,0.4
0.025,0.565,520.787,-6.25795,-4.85704,16696.1,1,-2,0,0.4
0.025,0.575,576.58,-6.58723,-4.40822,17685.9,1,-2,0,0.4
0.025,0.585,639.576,-6.9098,-3.95827,18815.4,1,-2,0,0.4
0.025,0.595,709.27,-7.22126,-3.51227,20080.5,1,-2,0,0.4
0.025,0.605,784.426,-7.51471,-3.07591,21469.7,1,-2,0,0.4
0.025,0.615,862.891,-7.78212,-2.65578,22958.4,1,-2,0,0.4
0.025,0.625,941.738,-8.01653,-2.25864,24508.7,1,-2,0,0.4
