x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,40.8436,8.8075,-14.657,984.134,1,-2,0,0.4
0.005,0.015,60.8123,8.59483,-16.4907,1667.43,1,-2,0,0.4
0.005,0.025,81.8388,8.18306,-17.6407,2424.25,1,-2,0,0.4
0.005,0.035,101.089,7.62039,-18.2863,3153.93,1,-2,0,0.4
0.005,0.045,117.136,6.93204,-18.5773,3797.8,1,-2,0,0.4
0.005,0.055,130.041,6.13694,-18.6035,4346.26,1,-2,0,0.4
0.005,0.065,139.843,5.31309,-18.4214,4779.76,1,-2,0,0.4
0.005,0.075,146.537,4.5439,-18.0894,5078.9,1,-2,0,0.4
0.005,0.085,150.484,3.87353,-17.6638,5249.75,1,-2,0,0.4
0.005,0.095,152.33,3.31059,-17.1903,5319.03,1,-2,0,0.4
0.005,0.105,152.776,2.84415,-16.701,5319.84,1,-2,0,0.4
0.005,0.115,152.419,2.4566,-16.2163,5281.23,1,-2,0,0.4
0.005,0.125,151.691,2.13042,-15.7476,5224.45,1,-2,0,0.4
0.005,0.135,150.874,1.85096,-15.3007,5163.31,1,-2,0,0.4
0.005,0.145,150.137,1.6069,-14.8776,5105.99,1,-2,0,0.4
0.005,0.155,149.568,1.38998,-14.4783,5056.88,1,-2,0,0.4
0.005,0.165,149.201,1.19457,-14.1014,5017.94,1,-2,0,0.4
0.005,0.175,149.033,1.01722,-13.7449,4989.7,1,-2,0,0.4
0.005,0.185,149.035,0.856194,-13.4064,4971.88,1,-2,0,0.4
0.005,0.195,149.158,0.711025,-13.0835,4963.75,1,-2,0,0.4
0.005,0.205,149.339,0.582078,-12.7733,4964.36,1,-2,0,0.4
0.005,0.215,149.507,0.470022,-12.4733,4972.64,1,-2,0,0.4
0.005,0.225,149.591,0.375286,-12.1808,4987.52,1,-2,0,0.4
0.005,0.235,149.534,0.297503,-11.8934,5007.94,1,-2,0,0.4
0.005,0.245,149.296,0.235073,-11.609,5032.83,1,-2,0,0.4
0.005,0.255,148.867,0.184929,-11.326,5061.02,1,-2,0,0.4
0.005,0.265,148.26,0.142657,-11.0439,5091.02,1,-2,0,0.4
0.005,0.275,147.513,0.102992,-10.763,5120.88,1,-2,0,0.4
0.005,0.285,146.68,0.0606263,-10.4841,5148.24,1,-2,0,0.4
0.005,0.295,145.833,0.0110076,-10.2084,5170.9,1,-2,0,0.4
0.005,0.305,145.064,-0.0492962,-9.93601,5187.48,1,-2,0,0.4
0.005,0.315,144.477,-0.122789,-9.66674,5197.22,1,-2,0,0.4
0.005,0.325,144.176,-0.211251,-9.40006,5199.75,1,-2,0,0.4
0.005,0.335,144.262,-0.315892,-9.1353,5195,1,-2,0,0.4
0.005,0.345,144.822,-0.43739,-8.87274,5182.92,1,-2,0,0.4
0.005,0.355,145.943,-0.575951,-8.61179,5163.92,1,-2,0,0.4
0.005,0.365,147.703,-0.731283,-8.35181,5138.54,1,-2,0,0.4
0.005,0.375,150.175,-0.902732,-8.09216,5107.57,1,-2,0,0.4
0.005,0.385,153.433,-1.08925,-7.83216,5071.98,1,-2,0,0.4
0.005,0.395,157.546,-1.28943,-7.57116,5032.99,1,-2,0,0.4
0.005,0.405,162.587,-1.50152,-7.30849,4991.99,1,-2,0,0.4
0.005,0.415,168.636,-1.72354,-7.04352,4950.59,1,-2,0,0.4
0.005,0.425,175.777,-1.95333,-6.77559,4910.65,1,-2,0,0.4
0.005,0.435,184.109,-2.18865,-6.50409,4874.18,1,-2,0,0.4
0.005,0.445,193.743,-2.42738,-6.22843,4843.44,1,-2,0,0.4
0.005,0.455,204.822,-2.6675,-5.94776,4821.22,1,-2,0,0.4
0.005,0.465,217.587,-2.907,-5.65953,4812.62,1,-2,0,0.4
0.005,0.475,232.528,-3.143,-5.35706,4828.58,1,-2,0,0.4
0.005,0.485,249.778,-3.37677,-5.04515,4866.61,1,-2,0,0.4
0.005,0.495,269.329,-3.61104,-4.73071,4920.22,1,-2,0,0.4
0.005,0.505,291.495,-3.845,-4.41352,4992.9,1,-2,0,0.4
0.005,0.515,316.658,-4.07866,-4.09322,5088.66,1,-2,0,0.4
0.005,0.525,345.202,-4.31298,-3.77054,5210.31,1,-2,0,0.4
0.005,0.535,377.55,-4.54949,-3.44642,5360.68,1,-2,0,0.4
0.005,0.545,414.111,-4.7907,-3.12237,5541.71,1,-2,0,0.4
0.005,0.555,455.053,-5.04104,-2.80164,5750.84,1,-2,0,0.4
0.005,0.565,500.439,-5.30733,-2.4862,5985.25,1,-2,0,0.4
0.005,0.575,550.59,-5.59722,-2.17524,6247.87,1,-2,0,0.4
0.005,0.585,606.579,-5.91721,-1.86441,6553.09,1,-2,0,0.4
0.005,0.595,670.889,-6.27235,-1.54552,6932.11,1,-2,0,0.4
0.005,0.605,748.073,-6.66615,-1.20764,7435.63,1,-2,0,0.4
0.005,0.615,845.119,-7.09944,-0.840907,8129.66,1,-2,0,0.4
0.005,0.625,970.846,-7.56693,-0.443709,9076.9,1,-2,0,0.4
0.005,0.635,1133.22,-8.05076,-0.0297463,10302.9,1,-2,0,0.4
0.005,0.645,1335.06,-8.51647,0.373163,11778.5,1,-2,0,0.4
0.005,0.655,1569.29,-8.90879,0.736483,13467.7,1,-2,0,0.4
0.005,0.665,1827.44,-9.22341,1.03949,15292.4,1,-2,0,0.4
0.005,0.675,2093.61,-9.46245,1.27571,17143.9,1,-2,0,0.4
0.005,0.685,2350.95,-9.63092,1.45191,18946.4,1,-2,0,0.4
0.005,0.695,2587.88,-9.73915,1.58203,20666.6,1,-2,0,0.4
0.005,0.705,2799.26,-9.7992,1.68088,22302.4,1,-2,0,0.4
