x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,1,5,2,0.4,1,-2,0,0.4
0.005,0.015,1,5,2,0.4,1,-2,0,0.4
0.005,0.025,1,5,2,0.4,1,-2,0,0.4
0.005,0.035,1,5,2,0.4,1,-2,0,0.4
0.005,0.045,1,5,2,0.4,1,-2,0,0.4
0.005,0.055,1,5,2,0.4,1,-2,0,0.4
0.005,0.065,1,5,2,0.4,1,-2,0,0.4
0.005,0.075,1,5,2,0.4,1,-2,0,0.4
0.005,0.085,1,5,2,0.4,1,-2,0,0.4
0.005,0.095,1,5,2,0.4,1,-2,0,0.4
0.005,0.105,1,5,2,0.4,1,-2,0,0.4
0.005,0.115,1,5,2,0.4,1,-2,0,0.4
0.005,0.125,1,5,2,0.4,1,-2,0,0.4
0.005,0.135,1,5,2,0.4,1,-2,0,0.4
0.005,0.145,1,5,2,0.4,1,-2,0,0.4
0.005,0.155,1,5,2,0.4,1,-2,0,0.4
0.005,0.165,1,5,2,0.4,1,-2,0,0.4
0.005,0.175,1,5,2,0.4,1,-2,0,0.4
0.005,0.185,1,5,2,0.4,1,-2,0,0.4
0.005,0.195,1,5,2,0.4,1,-2,0,0.4
0.005,0.205,1.03171,5.00005,1.92464,0.480676,1,-2,0,0.4
0.005,0.215,1.67006,5.08091,-0.296378,7.78071,1,-2,0,0.4
0.005,0.225,2.96447,5.4587,-3.53237,32.6632,1,-2,0,0.4
0.005,0.235,4.50609,6.05758,-5.48405,60.5347,1,-2,0,0.4
0.005,0.245,6.06141,6.75881,-6.45422,80.8396,1,-2,0,0.4
0.005,0.255,7.724,7.46874,-6.92317,93.5115,1,-2,0,0.4
0.005,0.265,9.65121,8.11138,-7.15089,101.259,1,-2,0,0.4
0.005,0.275,11.9346,8.64297,-7.26515,106.232,1,-2,0,0.4
0.005,0.285,14.5878,9.05339,-7.32211,109.905,1,-2,0,0.4
0.005,0.295,17.5636,9.35497,-7.34383,113.327,1,-2,0,0.4
0.005,0.305,20.7912,9.56889,-7.33646,117.354,1,-2,0,0.4
