# t Cd Cl
0.187193 -0.969817 0.00199428
0.367606 -1.13595 0.00297405
0.537457 -1.0956 0.002005
0.701304 -0.999828 0.00189663
0.862032 -0.984007 -0.00222221
1.02118 -1.05291 -0.00680514
1.17962 -1.06448 -0.00709087
1.33778 -1.01273 -0.0101629
1.49583 -0.932575 -0.0225779
1.65392 -0.874043 -0.0410016
1.81217 -0.862139 -0.0466319
1.9715 -0.898988 -0.0680959
2.1391 -0.94034 -0.0748975
2.30909 -0.958004 -0.0936529
2.47909 -0.944028 -0.108844
2.6491 -0.903755 -0.125632
2.81919 -0.852748 -0.147741
2.98943 -0.811591 -0.158536
3.15986 -0.781968 -0.161733
3.3305 -0.757975 -0.153075
3.50137 -0.740135 -0.138517
3.67249 -0.731037 -0.119171
3.84385 -0.732888 -0.0924101
4.01544 -0.747616 -0.0570521
4.1872 -0.775854 -0.00645126
4.35907 -0.809363 0.0433341
4.53098 -0.840292 0.0948943
4.70287 -0.863177 0.145918
4.87468 -0.875987 0.194642
5 -0.88376 0.233602
